product_url,description
https://tiki.vn/product-p200629270.html?spid=200629271,"BỘ SẢN PHẨM BAO GỒM 02 Bịch NESCAFÉ 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46 gói Quà tặng đi kèm THÔNG TIN CHI TIẾT Giới thiệu Nescafé 3in1 công thức cải tiến mới - Thơm hơn, đậm đà hơn từ Robusta và Arabica. Cà phê sữa. Giá: 299000 VND. Đã bán 25933. "
https://tiki.vn/product-p221237771.html?spid=221237772,"Giới thiệu PediaSure với nguồn dinh dưỡng đầy đủ và cân bằng với 37 dưỡng chất thiết yếu giúp bé tăng trưởng rõ rệt chỉ sau 9 tuần: Chiều cao, cân nặng và sức đề kháng. Đặc điểm nổi bật PediaSure có chứa: - 3 nguồn đạm, canxi và Vitamin. Giá: 1240250 VND. Đã bán 1487. "
https://tiki.vn/product-p124742926.html?spid=73795623,MacBook Air (13 inch) Mạnh mẽ vươn tới thành công. Mà nhẹ bỗng. MacBook Air. Với chip M1. MacBook Air. Sức mạnh cho học tập. Vô cùng gọn nhẹ. Vô cùng mạnh mẽ cho việc học. Nội dung quảng cáo MacBook Air là máy tính xách tay mỏng và nhẹ. Giá: 16900000 VND. Đã bán 2954. 
https://tiki.vn/product-p235856165.html?spid=235856166,"Tã quần Bobby Lõi nén thần kỳ 3mm - Mỏng thoáng nhân đôi, thấm hút vượt trội (Tinh chất gạo non organic - Giảm nhiệt x2 Thoáng mát) ĐẶC ĐIỂM NỔI BẬT 1. Lõi nén thần kỳ 3mm: Siêu mỏng nhẹ, thoáng khí gấp 2 lần nên giảm nhiệt độ. Giá: 342000 VND. Đã bán 841. "
https://tiki.vn/product-p275515112.html?spid=193570412,"Đa chức năng nấu, dễ dàng điều khiển Nồi áp suất Elmich PCE-1805 rất dễ sử dụng với hệ thống điều khiển cơ Tiện lợi với chương trình nấu đã được cài đặt sẵn, đa chức năng: nấu cơm, nấu súp, nấu cháo, nấu đậu, làm bánh, hầm gân, hấp. Giá: 797400 VND. Đã bán 790. "
https://tiki.vn/product-p190702377.html?spid=190702378,"GIỚI THIỆU Sữa Enfagrow A2 Neuropro 3 cung cấp các nhóm dưỡng chất thiết yếu để bé phát triển toàn diện. Sữa Enfa A2 số 3 có vị thanh nhạt dễ uống, không chứa đường sucrose, phù hợp với hệ tiêu hóa còn non yếu của trẻ sơ sinh. Bên. Giá: 629000 VND. Đã bán 2115. "
https://tiki.vn/product-p235856163.html?spid=235856164,"GIỚI THIỆU Tã quần Bobby Lõi nén thần kỳ 3mm - Mỏng thoáng nhân đôi, thấm hút vượt trội (Tinh chất gạo non organic - Giảm nhiệt x2 Thoáng mát) ĐẶC ĐIỂM NỔI BẬT 1. Lõi nén thần kỳ 3mm: Siêu mỏng nhẹ, thoáng khí gấp 2 lần nên giảm. Giá: 357000 VND. Đã bán 712. "
https://tiki.vn/product-p197665885.html?spid=197665886,"AirPods (thế hệ thứ 3) Âm thanh tuyệt diệu, trong bản phối mới. Tuyệt diệu chưa từng thấy. Đắm chìm trong suối nhạc diệu kỳ. Nội dung quảng cáo AirPods (thế hệ thứ 3) sở hữu công nghệ Âm Thanh Không Gian Cá Nhân Hóa đưa âm thanh đến quanh. Giá: 3790000 VND. Đã bán 1580. "
https://tiki.vn/product-p247427699.html?spid=247427700,"Tên sản phẩm: Sản phẩm dinh dưỡng công thức Nestlé NAN OPTIPRO PLUS 1 6x800gXuất xứ: Thụy SĩSản xuất bởi: Nhà máy Konolfingen, Nestlé-Strasse 1, 3510 Konolfingen, Thụy Sĩ.Nhập khẩu và công bố bởi Công ty TNHH Nestlé Việt Nam, KCN Biên Hòa 2, Phường An Bình, Thành phố Biên. Giá: 500000 VND. Đã bán 68785. "
https://tiki.vn/product-p247427686.html?spid=247427689,"Tên sản phẩm: Sản phẩm dinh dưỡng công thức Nestlé NAN OPTIPRO PLUS 2 6x800gXuất xứ: Thụy SĩSản xuất bởi: Nhà máy Konolfingen, Nestlé-Strasse 1, 3510 Konolfingen, Thụy Sĩ.Nhập khẩu và công bố bởi Công ty TNHH Nestlé Việt Nam, KCN Biên Hòa 2, Phường An Bình, Thành phố Biên. Giá: 500000 VND. Đã bán 98252. "
